"Gene","Module"
"LPGAT1","darkgrey"
"WDR72","darkgrey"
"SLC45A1","black"
"PCDP1","black"
"ADCY6","salmon"
"WWC2","turquoise"
"MOCOS","blue"
"RASL10B","purple"
"OLIG3","tan"
"CBS","saddlebrown"
"FAM65C","greenyellow"
"MAFG","purple"
"ZNF101","turquoise"
"EIF3K","steelblue"
"CTD-2600O9.1","greenyellow"
"LAPTM4A","grey60"
"AXDND1","grey"
"TPT1","sienna3"
"PYGL","darkturquoise"
"C10orf35","green"
"FAM169B","pink"
"AZI1","sienna3"
"HBE1","magenta"
"RP11-10A14.4","turquoise"
"DCTN3","yellow"
"TJAP1","cyan"
"TONSL","sienna3"
"ZCCHC7","pink"
"PTDSS1","salmon"
"CAPN3","blue"
"TAF1D","yellow"
"ARFGAP1","turquoise"
"DNAJC25","orangered4"
"SEC61A1","lightgreen"
"TACC3","lightgreen"
"PKP3","violet"
"GLYAT","honeydew1"
"PHB2","brown"
"DNAJC14","skyblue3"
"GRM6","grey"
"CYTH4","turquoise"
"MASTL","lightgreen"
"TSKU","steelblue"
"KIF7","cyan"
"ZFP64","lightcyan"
"GAS7","green"
"ZNF26","magenta"
"NFYA","grey60"
"LEFTY2","purple"
"CLEC3B","grey"
"NFATC3","magenta"
"PXDC1","lightcyan"
"AP1M2","turquoise"
"SYT3","turquoise"
"GPR68","turquoise"
"TRIM39","green"
"MTMR3","black"
"TUBA3C","magenta"
"BARHL2","pink"
"TSPAN12","brown"
"COL4A5","turquoise"
"TNRC6A","purple"
"APMAP","pink"
"TTC1","red"
"CNEP1R1","orange"
"CHRDL1","turquoise"
"WDR16","blue"
"SLC2A3","yellow"
"TMEM155","grey"
"ZNF280D","darkturquoise"
"SPEM1","grey"
"UGT1A10","honeydew1"
"APOH","grey"
"WTAP","mediumpurple3"
"FAM122C","green"
"RBFA","lightcyan1"
"PDCD2L","brown"
"RALB","paleturquoise"
"ZNF530","blue"
"BRWD1","darkturquoise"
"RAB22A","skyblue"
"DCAF12L2","blue"
"AFAP1L2","grey"
"LIMS2","magenta"
"NME1","salmon"
"NID2","turquoise"
"TGFB1I1","grey60"
"FIG4","darkolivegreen"
"CCDC70","grey"
"CBL","blue"
"RTF1","steelblue"
"DUSP10","brown"
"GGNBP1","greenyellow"
"TMEM62","red"
"SLC25A41","greenyellow"
"BTBD9","blue"
"KCTD21","turquoise"
"CRYZ","white"
"PPL","red"
"TBP","plum1"
"ASB5","maroon"
"GRAPL","midnightblue"
"SMURF1","yellow"
"SBF2","green"
"IL4","brown"
"RTN4RL1","midnightblue"
"MTRF1","blue"
"DROSHA","white"
"CEACAM19","turquoise"
"UVRAG","darkolivegreen"
"MIEF1","yellow"
"COBLL1","darkgrey"
"SIGLEC9","darkorange"
"DSPP","grey"
"TTC9","blue"
"LEPREL4","purple"
"LAMB2","salmon"
"SOS1","greenyellow"
"CDKL3","greenyellow"
"AGXT2","grey"
"C11orf85","grey"
"LYRM5","magenta"
"CCDC36","turquoise"
"TNIK","turquoise"
"AAAS","black"
"ACLY","yellow"
"ANKRD26","purple"
"MXI1","turquoise"
"ZNF333","salmon"
"NIP7","green"
"SLC5A12","green"
"AC187652.1","turquoise"
"CACNA1H","cyan"
"C4orf29","lightcyan"
"TEX29","grey"
"TUSC1","red"
"MUC8","yellow"
"FCGR2C","midnightblue"
"FRMPD4","magenta"
"SMG1","darkturquoise"
"RIOK1","black"
"ARHGAP1","turquoise"
"YLPM1","midnightblue"
"C7orf13","skyblue"
"SCN3A","pink"
"PRPS1","red"
"GPR143","purple"
"SRCAP","cyan"
"KRT10","grey"
"C10orf32","green"
"DGCR8","turquoise"
"C6orf100","yellow"
"TFDP2","darkturquoise"
"ZSCAN20","royalblue"
"AP5B1","lightcyan1"
"SFRP4","grey"
"CHAD","turquoise"
"C4orf3","brown"
"ANKRD1","greenyellow"
"CRISP2","tan"
"WFDC13","magenta"
"CTDSPL","white"
"CYB5R3","cyan"
"STMN2","magenta"
"PLD6","grey60"
"BMI1","violet"
"VBP1","red"
"ANP32A","salmon"
"RCCD1","white"
"ZMYND15","brown"
"KIFAP3","grey60"
"CDCP1","turquoise"
"FOSB","turquoise"
"LILRA1","grey"
"EPHB4","yellow"
"AL953854.2","grey"
"WBP2NL","blue"
"CHD1","red"
"CPSF7","brown"
"NUPR1","lightsteelblue1"
"LRRC2","blue"
"ST3GAL5","greenyellow"
"ZNF564","salmon"
"MAFA","turquoise"
"TRIM24","brown"
"GPR137B","lightyellow"
"HEXIM2","lightyellow"
"FNDC3A","darkred"
"ACP6","red"
"ESYT2","white"
"LIN7A","green"
"TSEN54","tan"
"FLJ14816","yellow"
"LILRB5","darkorange"
"SLC7A14","magenta"
"C6orf118","brown"
"DYDC2","brown"
"HRNR","turquoise"
"ARF4","turquoise"
"GPX8","turquoise"
"SEZ6","red"
"IKBKB","black"
"ZNRF2","midnightblue"
"TGFBR3","darkgrey"
"ZIC3","tan"
"CCDC126","black"
"HAGHL","sienna3"
"NOTCH3","brown"
"ADCY7","paleturquoise"
"PARP14","yellow"
"TAZ","brown"
"NLRC3","turquoise"
"LRRC61","violet"
"MRPS22","brown"
"RHD","grey"
"CDKN2A","red"
"PAX5","black"
"TMA7","orangered4"
"KDM6A","greenyellow"
"L3MBTL2","turquoise"
"TERF2IP","lightsteelblue1"
"SNX21","orange"
"ZNF561","brown"
"ORAI2","greenyellow"
"TMEM42","black"
"KCNJ2","green"
"RABGAP1L","blue"
"FAH","purple"
"PKNOX2","cyan"
"WDFY1","darkslateblue"
"ZC3H7B","magenta"
"PPP1R3D","yellow"
"HSD3B7","red"
"RXFP3","honeydew1"
"HIST1H2BM","grey"
"SULT1B1","greenyellow"
"MYO5C","turquoise"
"SDCCAG3","brown"
"SCNN1D","black"
"GDPD5","darkred"
"WDR73","turquoise"
"TOR1B","blue"
"EPAS1","turquoise"
"DUXA","grey"
"FBN1","skyblue"
"PCDHA5","purple"
"SFTA2","turquoise"
"DAZAP1","violet"
"COPG2","midnightblue"
"TIPARP","magenta"
"C2orf74","green"
"KIAA1468","lightcyan"
"KLHL4","magenta"
"ATG5","lightyellow"
"PRMT3","black"
"WDR26","blue"
"POLD1","darkturquoise"
"CELA3B","grey"
"CEP112","yellow"
"SLC12A9","salmon"
"ENTHD1","maroon"
"SEC16A","blue"
"SLC10A3","floralwhite"
"ALX3","cyan"
"TKTL1","yellow"
"PDIA2","brown"
"CYP4F22","pink"
"CHORDC1","blue"
"GPX1","white"
"FAM91A1","salmon"
"CTR9","black"
"SYCP2","plum1"
"TAS2R60","grey"
"CYB561","blue"
"EXOC7","tan"
"TAPBP","brown4"
"ACTA2","magenta"
"MTR","magenta"
"ANKDD1B","turquoise"
"ATP6V1G3","grey"
"LYST","darkolivegreen"
"GYG1","turquoise"
"SYPL1","darkred"
"DDX47","black"
"USP6NL","sienna3"
"MARVELD1","turquoise"
"KRBOX1","blue"
"AP003041.2","grey"
"LMNA","yellow"
"GOLGA6L4","black"
"PGLYRP4","tan"
"GPS1","brown"
"KDM3A","yellow"
"AL589739.1","black"
"DHFRL1","lightsteelblue1"
"DCAF6","cyan"
"HRH3","pink"
"SAMSN1","magenta"
"BCL2L1","darkslateblue"
"ANO9","black"
"C6","blue"
"NPFFR2","tan"
"C15orf26","blue"
"PPP6R2","red"
"NRG3","yellow"
"RFPL3S","turquoise"
"NPTX1","lightyellow"
"NEK8","orangered4"
"FAM177B","grey"
"CSPP1","magenta"
"ACSM1","turquoise"
"PER2","red"
"E4F1","red"
"FGF2","turquoise"
"SLC4A1","turquoise"
"CAD","blue"
"WDR41","turquoise"
"TCEAL1","mediumpurple3"
"USP6","tan"
"MDK","lightyellow"
"C21orf90","yellow"
"AMDHD2","darkgrey"
"DNAH12","blue"
"RPL17","pink"
"APOBEC3C","brown"
"NECAB2","purple"
"SCN1A","grey"
"NLRP14","turquoise"
"RBM48","paleturquoise"
"STARD7","brown4"
"IVD","cyan"
"CPNE3","greenyellow"
"NARFL","orange"
"ZNF577","black"
"CH25H","tan"
"CLTB","brown"
"AL353354.1","purple"
"CREB3L4","blue"
"PDGFC","turquoise"
"GJB6","blue"
"PNMA2","brown"
"TOMM40","brown"
"TMED2","blue"
"TRPC4","palevioletred3"
"PLK2","midnightblue"
"ITPRIPL2","magenta"
"C1orf159","plum1"
"DSN1","lightgreen"
"SLC38A6","turquoise"
"ITPK1","brown"
"STARD4","royalblue"
"MPV17L2","lightcyan"
"MROH2A","brown"
"SYAP1","lightcyan"
"HIST2H4B","purple"
"GPR155","turquoise"
"TANC2","darkmagenta"
"GNA12","cyan"
"CTD-2014B16.3","grey"
"KRTAP5-2","blue"
"STARD10","turquoise"
"ACTR1A","red"
"GJC3","grey"
"RGPD5","turquoise"
"SRBD1","lightsteelblue1"
"CYP4F12","orange"
"NLGN2","yellow"
"SPIB","yellow"
"CARS2","darkred"
"HSD17B3","tan"
"USP30","mediumpurple3"
"SPATS2L","darkmagenta"
"KCNE3","green"
"TARS2","salmon4"
"RASIP1","turquoise"
"NUAK2","turquoise"
"PWWP2A","brown"
"DDA1","yellow"
"BANK1","blue"
"HMGN3","saddlebrown"
"ADAT2","grey"
"ASB1","tan"
"SMC1A","lightcyan"
"TRIM16","darkred"
"FOLR3","magenta"
"OR51E2","magenta"
"ENOPH1","yellow"
"IRX5","purple"
"FSTL1","orange"
"BARX2","yellow"
"ANKHD1","grey"
"RNF185","red"
"CCDC147","blue"
"ARHGAP20","magenta"
"OARD1","grey"
"PPP1R12A","grey"
"ALOX12","pink"
"CTSB","greenyellow"
"TMEM200C","greenyellow"
"TAOK2","purple"
"KLHL24","brown"
"PSMD1","red"
"BNIP3","brown"
"JMJD7","turquoise"
"CGRRF1","lightcyan"
"NUCB1","purple"
"SRSF9","plum1"
"USP13","black"
"HIST1H3D","white"
"C2orf48","grey"
"TRPV4","brown"
"SLC4A2","steelblue"
"LEMD3","darkgreen"
"OAS1","yellow"
"MS4A15","turquoise"
"ALOXE3","brown"
"AL590714.1","midnightblue"
"CHD5","turquoise"
"HTR3C","grey"
"GABRB2","tan"
"UFC1","darkturquoise"
"PCDHB2","grey60"
"KLF14","magenta"
"UNCX","darkorange"
"DET1","plum1"
"NIPAL3","skyblue"
"FGGY","white"
"B3GALNT1","blue"
"SERPINA6","brown"
"TTLL7","red"
"ZBTB9","midnightblue"
"NYAP2","magenta"
"GNB3","yellow"
"NOX5","blue"
"GINS3","lightgreen"
"FAM133A","tan"
"BOLL","magenta"
"SNRPG","black"
"C1orf234","grey"
"CSAG1","midnightblue"
"APOBR","grey"
"DHRS12","lightcyan"
"PRKACA","yellow"
"CASP9","turquoise"
"A4GNT","pink"
"ELK3","green"
"CCDC82","yellow"
"DPH3","turquoise"
"CYGB","yellow"
"RP11-382J12.1","darkmagenta"
"PRAMEF10","magenta"
"RRAS","grey60"
"INHBA","yellow"
"DPH6","turquoise"
"MAGEA3","plum1"
"FTH1","green"
"SGTA","black"
"PSMD6","lightyellow"
"ZNFX1","grey60"
"DNASE2B","magenta"
"LENG9","black"
"MSANTD4","lightyellow"
"LDHC","pink"
"AP1S1","purple"
"CCPG1","blue"
"GAN","green"
"CDC25B","brown"
"FAM229A","greenyellow"
"SNRPB2","salmon"
"SYNPO","greenyellow"
"ADRM1","darkred"
"GNGT2","grey"
"DCAF17","pink"
"C19orf26","pink"
"FAM122B","red"
"HDAC10","purple"
"SBK1","cyan"
"SLC35F5","darkturquoise"
"BDP1","greenyellow"
"C2orf44","purple"
"ATP6AP2","blue"
"GGTLC2","yellow"
"CRIM1","ivory"
"C4BPB","magenta"
"FAM221A","salmon"
"ZSCAN4","magenta"
"GSTK1","darkgreen"
"NAP1L5","paleturquoise"
"TMPPE","bisque4"
"ALKBH2","brown"
"RIMBP3B","grey"
"ALDH18A1","lightcyan"
"NPIPA2","grey"
"DMTF1","greenyellow"
"RIT1","brown"
"CCDC50","pink"
"ADAMTS6","cyan"
"GUCA1C","grey60"
"NUP62CL","yellow"
"GZMB","darkorange"
"ENTPD3","blue"
"KLHL22","green"
"AAR2","yellow"
"BTBD17","yellow"
"VRTN","midnightblue"
"PRPS1L1","grey"
"PKN2","darkgrey"
"NAA30","purple"
"PGPEP1","brown"
"CUL2","royalblue"
"AL359736.1","green"
"CAND2","turquoise"
"SLA","darkorange"
"SMPDL3B","turquoise"
"SLC7A5","turquoise"
"GHDC","purple"
"ITGB4","red"
"COX6A1","grey"
"HIST1H2BE","grey"
"KLHL10","darkmagenta"
"HIAT1","floralwhite"
"ST8SIA6","midnightblue"
"AKTIP","violet"
"ERC2","saddlebrown"
"FAM110A","turquoise"
"LRP4","cyan"
"PPP1CA","royalblue"
"RBBP8","turquoise"
"ENDOV","lightcyan"
"KRBA1","cyan"
"IREB2","tan"
"DCHS1","turquoise"
"MBTPS2","yellowgreen"
"SRPK1","brown"
"PIK3R1","salmon"
"RNF40","magenta"
"DLG4","lightcyan"
"ALDH2","red"
"DYRK3","red"
"TMA16","brown"
"PSMG1","black"
"BHLHE23","grey"
"RASSF4","cyan"
"C1orf174","plum2"
"KIAA1522","turquoise"
"BHLHA15","brown"
"ORAI1","purple"
"GRID2IP","black"
"TRMT61B","green"
"STAC","brown"
"SLC10A5","lightcyan"
"SCAND3","turquoise"
"BRF2","salmon4"
"FGD2","greenyellow"
"MSH3","blue"
"PIAS2","grey60"
"UTP6","turquoise"
"ZMAT1","darkgreen"
"DMBX1","midnightblue"
"ZFAND1","floralwhite"
"C9orf24","blue"
"N6AMT2","darkred"
"NLRP7","brown"
"SIGLEC6","yellow"
"MTFR2","lightgreen"
"NELFA","saddlebrown"
"QRICH1","red"
"DDRGK1","mediumpurple3"
"ARMC4","turquoise"
"GPKOW","yellowgreen"
"SRMS","blue"
"ARL4D","grey60"
"MEI4","plum1"
"CCR8","tan"
"ST3GAL6","red"
"TAX1BP3","cyan"
"OIT3","grey"
"DIP2A","salmon"
"E2F7","lightgreen"
"ACACA","pink"
"NOM1","blue"
"MAP1LC3C","bisque4"
"TATDN1","salmon"
"CFI","turquoise"
"MTCH1","lightcyan"
"TUBA3D","greenyellow"
"IL22RA2","darkorange"
"HIST2H3C","grey"
"FASN","orangered4"
"LNPEP","brown"
"CLIC2","grey"
"TINF2","blue"
"AC008372.1","grey"
"LYPLA1","black"
"WDR87","grey"
"PALB2","black"
"NAP1L1","lightcyan"
"TM9SF4","yellow"
"GLRX","darkgreen"
"ZNF679","tan"
"RDH10","pink"
"LGALS2","magenta"
"DNAL4","red"
"GEMIN5","turquoise"
"TREM1","brown"
"KCNJ15","turquoise"
"KCNQ2","cyan"
"RP11-1212A22.4","magenta"
"BEX1","turquoise"
"UCP2","turquoise"
"PARS2","turquoise"
"RPS14","blue"
"RFC5","lightgreen"
"PCDHA3","grey"
"DCBLD2","grey60"
"ZNF800","darkgreen"
"ETV4","grey"
"FGFBP1","darkred"
"SLC2A7","grey"
"PRADC1","grey60"
"AC011484.1","cyan"
"SPC25","lightgreen"
"SLC38A2","purple"
"SYT10","magenta"
"KIF1B","white"
"PROCR","blue"
"FAM184A","red"
"RFESD","turquoise"
"LINC00923","darkgreen"
"ZNF789","cyan"
"ZBTB24","turquoise"
"PDGFRB","yellow"
"IGFN1","greenyellow"
"MYCL","royalblue"
"HIST1H1C","purple"
"PCDH20","black"
"ITGAM","grey"
"ANO1","blue"
"CCDC113","red"
"GNB1L","tan"
"CYYR1","yellow"
"SLC39A3","turquoise"
"CHPT1","turquoise"
"TMUB2","lightsteelblue1"
"VARS","lightyellow"
"PPP1R36","blue"
"BIRC2","green"
"CHST15","plum2"
"NLRP3","grey"
"ZNF257","blue"
"CHRNA2","yellow"
"OSER1","blue"
"SYN3","pink"
"ZNF714","darkgrey"
"TAF7","sienna3"
"KRTAP20-4","maroon"
"MED1","pink"
"NUDT3","lightyellow"
"MTRNR2L8","grey"
"MMP17","cyan"
"C19orf71","sienna3"
"ELK4","salmon"
"BOLA3","brown"
"MRPL41","orange"
"COL15A1","magenta"
"UBE2D4","purple"
"SYT2","magenta"
"MSS51","brown"
"DEXI","lightyellow"
"FYB","pink"
"NEU4","magenta"
"MAGEC2","plum1"
"TTC32","tan"
"PCBP2","turquoise"
"DNAJC9","black"
"TMEM86B","greenyellow"
"KPNA4","brown"
"PTPRZ1","tan"
"ACHE","turquoise"
"ZNF511","red"
"GRID1","floralwhite"
"FAM24A","grey"
"TBX3","turquoise"
"TTC3","blue"
"HKDC1","darkmagenta"
"C18orf54","salmon"
"ARPC1B","pink"
"ZPLD1","turquoise"
"KIAA2018","greenyellow"
"IDI2","lightsteelblue1"
"AC016885.1","blue"
"MACROD1","green"
"UBE2I","blue"
"TRIM58","turquoise"
"C1RL","black"
"NME3","red"
"CTHRC1","tan"
"IL17RC","red"
"SYNJ2","turquoise"
"GLG1","darkred"
"TPRKB","darkred"
"MARK1","purple"
"TMEM123","darkturquoise"
"PASD1","magenta"
"SLC17A4","magenta"
"EXOC3L2","grey"
"DEPDC5","orange"
"SYBU","skyblue3"
"COPZ2","turquoise"
"BTG4","thistle2"
"JTB","grey60"
"ELFN1","lightyellow"
"YTHDC2","turquoise"
"WDR38","blue"
"BANF2","grey"
"MRGPRF","yellow"
"PLVAP","yellow"
"MAK","brown"
"QPCTL","turquoise"
"CALCR","yellow"
"PYURF","darkturquoise"
"CNIH2","midnightblue"
"SMARCE1","white"
"SIRPB1","green"
"ZNF461","magenta"
"PTGFR","grey"
"TMEM184B","blue"
"AC011997.1","grey"
"TYMS","lightgreen"
"GSTM1","grey"
"PDZK1","yellow"
"POU4F2","pink"
"PPFIA1","lightcyan"
"COG5","white"
"OR1J2","tan"
"TCAIM","darkred"
"ACAN","turquoise"
"ODF2","cyan"
"PBX3","lightcyan"
"LONRF3","skyblue"
"PTMA","darkred"
"ALG1L","turquoise"
"GPI","steelblue"
"CASP12","midnightblue"
"SLC10A4","purple"
"MSLNL","magenta"
"QRFPR","purple"
"AC079210.1","turquoise"
"SVEP1","salmon4"
"AOC3","darkred"
"SNAP25","turquoise"
"NOL3","violet"
"ZNF717","skyblue3"
"GABARAPL1","yellow"
"MESDC2","greenyellow"
"LRAT","turquoise"
"SIGLEC14","darkorange"
"NGFRAP1","turquoise"
"UBXN2B","cyan"
"NLRP11","lightsteelblue1"
"WFS1","ivory"
"LGALS7","tan"
"TBC1D2","red"
"IGF1","magenta"
"TBC1D23","lightcyan1"
"SDHD","black"
"NPBWR1","purple"
"SCAMP1","saddlebrown"
"FSD1L","pink"
"PLXNA2","brown"
"CACHD1","darkolivegreen"
"MAGEB18","yellow"
"C1orf116","red"
"DCAF4L2","darkorange2"
"PAX6","red"
"CCR7","tan"
"SPDEF","blue"
"SBK3","turquoise"
"PPP1R37","red"
"RP11-10J21.3","blue"
"ZKSCAN1","salmon"
"CLECL1","yellow"
"FAM53A","steelblue"
"SNX16","purple"
"RPL37A","green"
"NUDT16","brown"
"WEE2","brown"
"MKI67","lightgreen"
"DPP10","turquoise"
"FAM216B","blue"
"C14orf142","skyblue"
"NFKB1","darkturquoise"
"TBC1D10B","cyan"
"C17orf70","greenyellow"
"SLC22A23","royalblue"
"VASP","green"
"AL031320.1","grey"
"NBEAL2","red"
"TSN","salmon"
"KDSR","turquoise"
"C15orf39","turquoise"
"ATG4B","bisque4"
"KIF5B","saddlebrown"
"RIN3","turquoise"
"C11orf74","brown4"
"GTF2H5","lightcyan"
"NOMO1","turquoise"
"S100A5","grey"
"MEGF10","turquoise"
"FCN1","darkorange"
"PPP1R26","brown"
"KLF6","grey60"
"FITM1","grey"
"POFUT2","salmon"
"RP11-216L13.17","grey"
"C1orf146","grey"
"PPP2R2C","turquoise"
"VANGL2","cyan"
"ZNF585B","royalblue"
"CHRNB1","turquoise"
"EML5","lightcyan"
"NMNAT3","salmon"
"GOSR2","turquoise"
"GTF2I","brown"
"CNFN","turquoise"
"PODNL1","yellow"
"CAPN1","black"
"CHST3","blue"
"GGT1","turquoise"
"TRIM64B","magenta"
"CAB39","brown"
"RBM41","green"
"SKIV2L2","turquoise"
"TMPRSS15","palevioletred3"
"WSCD2","plum1"
"ADM2","blue"
"DCLRE1A","black"
"IGF2BP2","darkmagenta"
"NEUROD4","pink"
"PLXDC2","purple"
"PER3","steelblue"
"SIAH2","grey"
"FAM124A","green"
"ECD","turquoise"
"ZNF286A","darkslateblue"
"TRERF1","bisque4"
"NDP","greenyellow"
"SARDH","cyan"
"ATP13A2","purple"
"MGST2","cyan"
"SLCO4C1","turquoise"
"ZNF419","royalblue"
"RANGRF","darkmagenta"
"ARSB","darkturquoise"
"PTCD2","green"
"ART1","lavenderblush3"
"UBE2E2","green"
"BAK1","darkgreen"
"CEP68","darkturquoise"
"ARHGAP17","red"
"AP1G1","turquoise"
"ID1","blue"
"ALDH1L2","brown"
"NPIPA3","grey"
"GLTPD1","red"
"LRPPRC","black"
"TSHZ3","turquoise"
"ACTL7B","thistle2"
"CENPBD1","lightyellow"
"CDC42SE2","green"
"ERICH2","blue"
"PDCD2","grey60"
"PSMB11","yellow"
"KIAA1551","lightyellow"
"FNDC4","cyan"
"ZIC5","brown"
"MYH4","midnightblue"
"EP400","lightgreen"
"C9orf147","grey"
"AKAP11","purple"
"DNAJB5","tan"
"P4HB","red"
"APOD","blue"
"FAM57A","turquoise"
"TRPC3","magenta"
"MAPK3","brown"
"ZNRF3","black"
"C1orf167","black"
"PRRG1","lightyellow"
"HIST1H4J","midnightblue"
"USP47","yellow"
"KB-1507C5.2","turquoise"
"FTCD","yellow"
"EAF2","red"
"BRS3","grey"
"SRGAP1","green"
"ATP6V0A2","lightpink4"
"AL049829.1","black"
"TRIP12","violet"
"EPS15","paleturquoise"
"WNT7B","white"
"NKX6-2","pink"
"TRAT1","darkorange"
"PEX1","paleturquoise"
"ZSWIM5","midnightblue"
"DAB2","red"
"COG7","darkturquoise"
"GSTA3","blue"
"IL1RAP","midnightblue"
"LYNX1","turquoise"
"CDT1","lightgreen"
"PET112","yellow"
"DIXDC1","red"
"CD53","darkorange"
"LY6G6F","grey"
"PACSIN1","turquoise"
"FRA10AC1","ivory"
"NOTO","grey"
"LIX1","greenyellow"
"FAM50A","green"
"TRIOBP","white"
"PARP11","darkslateblue"
"DRD1","pink"
"ZNF597","purple"
"LRCH2","orange"
"TOPORS","turquoise"
"FBXO39","tan"
"ZCCHC6","salmon"
"DGAT2L6","grey"
"CYP1A1","turquoise"
"VSX1","turquoise"
"SYNE1","lightcyan"
"FAM198A","red"
"SUSD3","tan"
"CTNND2","magenta"
"PMVK","yellow"
"NEUROG3","greenyellow"
"MYRFL","darkgrey"
"PCSK1","tan"
"TRAK1","white"
"UMOD","navajowhite2"
"PTPRD","green"
"SRSF1","lightgreen"
"DIRC3","turquoise"
"USP18","cyan"
"NCR2","grey"
"OR14I1","magenta"
"PROM2","blue"
"SEMA3E","brown"
"SUGP2","yellow"
"REEP5","white"
"ADAP2","black"
"RPL18","magenta"
"PRPF40A","salmon"
"MAPK14","lightyellow"
"PDCD1LG2","tan"
"SC5D","turquoise"
"PVRIG","turquoise"
"MMP7","turquoise"
"SV2B","tan"
"BPIFB3","magenta"
"TIMP4","yellow"
"ITGA8","darkorange"
"AP000322.54","grey"
"CCDC88A","black"
"NUMBL","royalblue"
"CRYBA4","maroon"
"CEP135","cyan"
"BAD","blue"
"CEP57L1","green"
"GPR119","grey"
"EDARADD","turquoise"
"EXOSC5","brown"
"DPP7","red"
"PLAA","pink"
"HJURP","lightgreen"
"ASNSD1","red"
"COX14","turquoise"
"TMSB15B","yellow"
"GNG10","magenta"
"ASL","black"
"ZNF12","purple"
"SLC6A18","grey"
"ZXDC","pink"
"CCDC89","brown"
"C1orf204","blue"
"UBXN2A","tan"
"ASCC3","yellow"
"RASSF6","turquoise"
"FAM20C","saddlebrown"
"SRSF12","cyan"
"REL","black"
"KLRC2","yellow"
"C17orf67","white"
"LHFP","yellow"
"GJA1","green"
"FBP2","green"
"POLR3E","blue"
"CDH4","pink"
"TBCC","yellow"
"ABHD6","lightyellow"
"PCDHA10","grey"
"RP11-195F19.5","salmon4"
"USP28","darkolivegreen"
"MRPS25","pink"
"TACSTD2","turquoise"
"KIAA1683","yellow"
"CCDC159","turquoise"
"REPIN1","purple"
"PPP2R1B","lightcyan"
"FAM161B","darkolivegreen"
"TRIM37","black"
"UGT1A1","darkgrey"
"GUCY1A2","greenyellow"
"SLC35B2","orange"
"DPYD","orange"
"MXRA5","black"
"RMI2","lightgreen"
"RAC1","white"
"UNC5C","yellow"
"ANKRD61","turquoise"
"AL031663.1","brown"
"RXFP4","darkgreen"
"C1orf198","turquoise"
"C1orf162","turquoise"
"TOMM20","sienna3"
"KIAA1429","purple"
"TNFRSF4","grey"
"CACNB1","pink"
"CHEK1","royalblue"
"VDAC3","black"
"RP11-182J1.16","greenyellow"
"ACKR3","lightyellow"
"PKHD1","grey60"
"LRRN4CL","blue"
"IRF4","pink"
"EXOC3","pink"
"SLC17A6","tan"
"PLA2R1","red"
"AK8","brown4"
"NPIPA1","saddlebrown"
"SASH1","thistle1"
"EPCAM","skyblue"
"TINAG","grey60"
"TAS2R10","red"
"IPO11","turquoise"
"NRN1L","lightyellow"
"TMEM116","darkgreen"
"UNC5B","royalblue"
"KCTD16","turquoise"
"GYLTL1B","blue"
"C14orf93","turquoise"
"NUAK1","ivory"
"RNF145","lightcyan"
"SPOCK1","saddlebrown"
"GSG2","black"
"TMEM106C","salmon"
"TP53TG3","tan"
"C4orf36","grey"
"MBOAT4","grey"
"RWDD4","grey60"
"SOD1","darkred"
"ZC3H12A","turquoise"
"ERBB3","turquoise"
"MOV10","cyan"
"SSR2","yellow"
"NSMCE4A","turquoise"
"AL161915.1","turquoise"
"RRN3","cyan"
"MND1","lightgreen"
"AGPAT5","green"
"NIF3L1","salmon"
"CYP2C19","violet"
"CNBD1","tan"
"COL11A2","greenyellow"
"MORN1","green"
"C11orf34","grey"
"MRPL10","salmon4"
"C12orf5","brown"
"SLC35G1","black"
"RAPGEF5","paleturquoise"
"METTL21A","black"
"SPATA24","turquoise"
"POLE3","turquoise"
"PRR16","purple"
"TSHB","magenta"
"FZD1","green"
"ARSK","greenyellow"
"AC007461.1","turquoise"
"ZFPM2","purple"
"LANCL3","greenyellow"
"GPR151","grey"
"DENND3","brown"
"DCDC2B","blue"
"TTC5","yellow"
"VRK3","darkgrey"
"TAS2R3","grey"
"CCDC88B","tan"
"OPRK1","blue"
"LUZP4","thistle2"
"SLCO1B3","magenta"
"FAM90A26","grey"
"OBFC1","turquoise"
"ECM2","grey"
"GATA3","turquoise"
"TM6SF1","blue"
"ZNF844","brown"
"ELOVL2","darkgreen"
"ZMIZ2","purple"
"AL359878.1","grey"
"IQCC","black"
"CLC","magenta"
"GSE1","darkolivegreen"
"ZNF781","midnightblue"
"NR2F1","darkgrey"
"EBNA1BP2","red"
"KDM4B","brown"
"KCTD5","red"
"CLEC18B","blue"
"ARL5B","turquoise"
"UTY","grey"
"DZIP3","turquoise"
"MB21D1","brown"
"MAT2B","cyan"
"C15orf57","tan"
"STARD3","pink"
"FGF8","turquoise"
"RASGRF2","yellow"
"ZAR1","grey"
"EHMT2","skyblue"
"RP11-863K10.7","purple"
"HIST1H2BB","grey"
"C6orf136","grey"
"IGLON5","turquoise"
"IGSF11","turquoise"
"RPL26","turquoise"
"ZFY","grey"
"RNASET2","turquoise"
"ZNF699","lightcyan"
"GOLPH3","grey"
"CCDC64","turquoise"
"RNF149","midnightblue"
"C1QTNF9B","green"
"CEP104","royalblue"
"PKMYT1","lightgreen"
"CTSD","skyblue3"
"NBPF16","grey"
"ADAP1","black"
"SKIV2L","purple"
"GTPBP8","salmon"
"CCDC11","blue"
"EPYC","grey"
"ATXN2L","yellow"
"LIMK2","turquoise"
